Space Type: RealVectorSpaceFCL Type
Space dimension: 2
Planner type:	RRTConnect
Tree: start
q: (-1.5708       0); parent q: NONE
q: ( -1.61567 -0.194901); parent q: (-1.5708       0)
q: ( -1.44085 -0.152031); parent q: (-1.5708       0)
q: ( -1.46295 -0.324043); parent q: ( -1.61567 -0.194901)
q: ( -1.24129 -0.165346); parent q: ( -1.44085 -0.152031)
q: ( -1.24129 -0.165346); parent q: ( -1.44085 -0.152031)
q: ( -1.04174 -0.178661); parent q: ( -1.24129 -0.165346)
q: ( -1.04174 -0.178661); parent q: ( -1.24129 -0.165346)
q: (-0.842179 -0.191975); parent q: ( -1.04174 -0.178661)
q: (-0.842179 -0.191975); parent q: ( -1.04174 -0.178661)
q: (-0.642623  -0.20529); parent q: (-0.842179 -0.191975)
q: (-0.642623  -0.20529); parent q: (-0.842179 -0.191975)
q: (-0.443067 -0.218605); parent q: (-0.642623  -0.20529)
q: (-0.443067 -0.218605); parent q: (-0.642623  -0.20529)
q: (-0.24351 -0.23192); parent q: (-0.443067 -0.218605)
q: (-0.24351 -0.23192); parent q: (-0.443067 -0.218605)
q: (-1.42563 -0.52053); parent q: ( -1.46295 -0.324043)
q: ( -1.57964 -0.486474); parent q: ( -1.46295 -0.324043)
q: ( -1.80706 -0.252942); parent q: ( -1.61567 -0.194901)
q: ( -1.45928 -0.717679); parent q: (-1.42563 -0.52053)
q: ( -1.99934 -0.307987); parent q: ( -1.80706 -0.252942)
q: (-1.98638 -0.34151); parent q: ( -1.80706 -0.252942)
q: ( -2.15623 -0.432028); parent q: ( -1.99934 -0.307987)
q: (  -2.1535 -0.451377); parent q: (-1.98638 -0.34151)
q: ( -2.34863 -0.486612); parent q: ( -2.15623 -0.432028)
q: ( -2.33704 -0.346545); parent q: ( -2.15623 -0.432028)
q: ( -2.44247 -0.663234); parent q: ( -2.34863 -0.486612)
q: (-2.53176 -0.56702); parent q: ( -2.34863 -0.486612)
q: ( -1.61584 -0.394901); parent q: ( -1.61567 -0.194901)
q: (-1.35577 -0.88881); parent q: ( -1.45928 -0.717679)
q: ( -2.06515 -0.119126); parent q: ( -1.99934 -0.307987)
q: ( -2.73076 -0.587006); parent q: (-2.53176 -0.56702)
q: (-1.30494 -1.08224); parent q: (-1.35577 -0.88881)
q: ( -2.92451 -0.636602); parent q: ( -2.73076 -0.587006)
q: (  -2.9174 -0.658878); parent q: ( -2.73076 -0.587006)
q: ( -3.07663 -0.506762); parent q: ( -2.92451 -0.636602)
q: ( -3.12451 -0.637128); parent q: ( -2.92451 -0.636602)
q: ( -3.08885 -0.307136); parent q: ( -3.07663 -0.506762)
q: (-1.22076 -1.26366); parent q: (-1.30494 -1.08224)
q: (-1.35172 -1.27669); parent q: (-1.30494 -1.08224)
q: (-1.20334  -1.4629); parent q: (-1.22076 -1.26366)
q: (-1.17533 -1.45844); parent q: (-1.22076 -1.26366)
q: (-1.11635   -1.643); parent q: (-1.20334  -1.4629)
q: (-1.17795 -1.66129); parent q: (-1.20334  -1.4629)
q: (-1.10534 -1.84269); parent q: (-1.11635   -1.643)
q: ( -3.21505 -0.815462); parent q: ( -3.12451 -0.637128)
q: ( -3.21791 -0.813978); parent q: ( -3.12451 -0.637128)
q: ( -3.24724 -0.185019); parent q: ( -3.08885 -0.307136)
q: (-1.06063 -2.03763); parent q: (-1.10534 -1.84269)
q: ( -3.37767 -0.934304); parent q: ( -3.21791 -0.813978)
q: (-1.03765 -1.18323); parent q: (-1.22076 -1.26366)
q: ( -3.44507 -0.214429); parent q: ( -3.24724 -0.185019)
q: ( -3.57417 -0.971525); parent q: ( -3.37767 -0.934304)
q: ( -1.39656 -0.512701); parent q: ( -1.46295 -0.324043)
q: (-0.937795  -2.19547); parent q: (-1.06063 -2.03763)
q: (-0.894961  -1.04309); parent q: (-1.03765 -1.18323)
q: (-1.01787 -2.37873); parent q: (-0.937795  -2.19547)
q: (-0.912777   -2.3939); parent q: (-0.937795  -2.19547)
q: (  -3.52796 -0.0324154); parent q: ( -3.44507 -0.214429)
q: ( -1.61196 -0.194939); parent q: ( -1.61584 -0.394901)
q: (-3.77019 -1.01124); parent q: ( -3.57417 -0.971525)
q: (-0.870799  -2.58944); parent q: (-0.912777   -2.3939)
q: (-3.81484 -1.20619); parent q: (-3.77019 -1.01124)
q: ( -3.95696 -0.939699); parent q: (-3.77019 -1.01124)
q: ( -1.0105 -2.73256); parent q: (-0.870799  -2.58944)
q: (-0.716306  -2.35649); parent q: (-0.912777   -2.3939)
q: (-1.10079 -2.91102); parent q: ( -1.0105 -2.73256)
q: (-0.725874  -2.72727); parent q: (-0.870799  -2.58944)
q: (-3.96846 -1.33425); parent q: (-3.81484 -1.20619)
q: (-1.11995  -3.1101); parent q: (-1.10079 -2.91102)
q: (-4.10851 -1.47703); parent q: (-3.96846 -1.33425)
q: ( -3.71352 -0.107045); parent q: (  -3.52796 -0.0324154)
q: (-1.19082 -3.29712); parent q: (-1.11995  -3.1101)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
q: (-0.80363 -2.53642); parent q: (-0.716306  -2.35649)
